startstation,tripmonth,casuals,casual_ratio
TA1305000014,September,1051,0.37
TA1309000058,September,1012,0.37
TA1306000012,September,1003,0.37
TA1305000002,September,910,0.37
TA1307000128,September,859,0.37
TA1309000033,September,837,0.37
13137,August,1513,0.37
KA1504000135,August,1482,0.37
TA1306000012,August,1269,0.37
13045,August,1227,0.37
TA1307000128,August,1058,0.37
13063,August,1008,0.37
TA1309000024,August,994,0.37
23003,August,838,0.37
13191,August,798,0.37
TA1309000036,August,772,0.37
TA1306000012,July,1206,0.37
13045,July,1129,0.37
21544,July,1117,0.37
13325,July,1096,0.37
TA1306000003,July,1069,0.37
SL-008,July,888,0.37
13061,September,949,0.36
TA1307000142,September,913,0.36
TA1305000041,September,844,0.36
13325,August,1132,0.36
TA1306000003,August,1092,0.36
TA1306000016,August,1090,0.36
TA1307000151,August,1069,0.36
TA1306000016,July,1008,0.36
TA1306000010,July,803,0.36
KA1504000135,September,1211,0.35
TA1306000003,September,943,0.35
13235,September,876,0.35
TA1307000151,September,842,0.35
13016,September,786,0.35
TA1307000039,August,1711,0.35
13061,August,1024,0.35
TA1305000041,August,888,0.35
SL-008,August,799,0.35
TA1307000107,August,759,0.35
331,July,1030,0.35
TA1307000039,September,1362,0.34
13137,September,1187,0.34
13045,September,842,0.34
13063,September,763,0.34
TA1307000120,September,754,0.34
331,August,953,0.34
TA1305000022,August,836,0.34
TA1309000066,August,795,0.34
13063,July,889,0.34
TA1307000150,September,876,0.33
13325,September,838,0.33
21544,August,1028,0.33
TA1305000006,August,762,0.33
TA1305000022,July,796,0.33
13011,July,755,0.33
21544,September,914,0.32
331,September,778,0.32
13016,August,893,0.32
TA1307000120,August,773,0.32
KA1503000043,September,1093,0.31
TA1307000120,July,840,0.31
KA1503000043,August,1259,0.3
KA1503000043,July,1214,0.29
TA1305000032,July,786,0.29
638,August,756,0.28
KA1503000014,October,1082,0.28
TA1305000032,September,758,0.27
KA1503000071,October,1131,0.27
TA1305000032,August,839,0.26
WL-012,July,786,0.23
WL-012,August,821,0.21
